"","word","J","N","P","R","V","Final"
"1","temperature","101","3749","0","82","12","N"
"2","bearing","76","1393","0","6","1270","N"
"3","model","18","2268","0","0","35","N"
"4","vibration","53","1383","0","11","114","N"
"5","pressure","0","1249","0","0","2","N"
"6","trending","0","25","0","0","1047","V"
"7","flow","0","839","0","0","2","N"
"8","estimate","1","813","0","0","15","N"
"9","reading","0","147","0","0","644","V"
"10","tracking","0","86","0","0","704","V"
"11","increase","1","377","0","0","411","V"
"12","values","0","761","0","0","1","N"
"13","position","5","751","0","0","2","N"
"14","oil","0","664","0","0","0","N"
"15","tag","0","658","0","0","1","N"
"16","decreased","0","0","0","0","631","V"
"17","drum","0","629","0","0","1","N"
"18","turbine","1","588","0","0","7","N"
"19","low","560","2","0","19","0","J"
"20","gas","0","569","0","0","0","N"
"21","valve","27","529","0","7","3","N"
"22","generator","5","515","0","1","0","N"
"23","nde","301","211","0","5","3","J"
"24","seal","2","514","0","0","2","N"
"25","thrust","5","306","0","0","203","N"
"26","hp","102","347","1","8","27","N"
"27","flatlined","67","0","0","0","415","V"
"28","motor","3","477","0","0","0","N"
"29","pump","2","408","0","2","58","N"
"30","inlet","0","442","0","22","1","N"
"31","condition","0","451","0","0","0","N"
"32","dp","5","388","0","1","12","N"
"33","exhaust","50","343","0","6","6","N"
"34","metal","13","388","0","0","0","N"
"35","lower","389","0","0","6","5","J"
"36","discharge","8","388","0","0","3","N"
"37","ip","3","383","0","1","9","N"
"38","sensor","2","383","0","0","3","N"
"39","load","0","378","0","0","2","N"
"40","differential","300","74","0","0","0","J"
"41","outlet","0","350","0","0","1","N"
"42","range","0","319","0","0","30","N"
"43","step","0","330","0","0","18","N"
"44","tags","0","345","0","0","1","N"
"45","persists","0","337","0","0","5","N"
"46","current","299","41","0","0","0","J"
"47","lube","5","331","0","0","0","N"
"48","compressor","0","322","0","0","4","N"
"49","suction","0","326","0","0","0","N"
"50","ambient","231","81","0","0","1","J"
"51","erratic","308","4","0","0","0","J"
"52","axial","115","186","0","0","0","N"
"53","prediction","0","296","0","0","0","N"
"54","speed","0","288","0","0","7","N"
"55","air","1","277","0","0","0","N"
"56","lp","1","258","0","0","17","N"
"57","hrsg","55","164","20","8","22","N"
"58","elevated","117","0","0","0","151","V"
"59","startup","9","253","0","0","3","N"
"60","predicted","0","0","0","0","264","V"
"61","restart","1","255","0","0","7","N"
"62","spread","0","185","0","0","78","N"
"63","stepped","0","0","0","0","262","V"
"64","spiking","13","46","0","0","199","V"
"65","start","0","226","0","0","23","N"
"66","filter","0","241","0","2","2","N"
"67","estimates","0","219","0","0","12","N"
"68","dropped","0","0","0","0","229","V"
"69","water","1","226","0","0","0","N"
"70","th","200","21","0","0","3","J"
"71","fw","39","176","0","1","7","N"
"72","steam","0","220","0","0","0","N"
"73","steady","208","0","0","10","0","J"
"74","fan","0","198","0","0","5","N"
"75","wind","0","195","0","0","2","N"
"76","observed","13","0","0","0","172","V"
"77","run","0","145","0","0","40","N"
"78","spiked","33","0","0","0","152","V"
"79","continues","0","0","0","0","181","V"
"80","trend","0","115","0","0","66","N"
"81","remained","0","0","0","0","175","V"
"82","gearbox","0","169","0","0","1","N"
"83","control","0","164","0","0","3","N"
"84","gt","34","121","2","3","7","N"
"85","reporting","0","3","0","0","161","V"
"86","performance","0","162","0","0","0","N"
"87","spike","4","126","0","0","32","N"
"88","ph","4","156","0","0","0","N"
"89","thermocouple","5","139","3","7","6","N"
"90","wheelspace","1","154","0","0","2","N"
"91","spikes","0","137","0","0","14","N"
"92","cooler","56","93","0","0","0","N"
"93","power","0","148","0","0","0","N"
"94","increases","0","123","0","0","24","N"
"95","decrease","0","89","0","0","57","N"
"96","decreasing","0","6","0","0","139","V"
"97","mechanical","97","45","0","0","0","J"
"98","rotor","3","138","0","0","0","N"
"99","train","0","101","0","0","40","N"
"100","drain","0","129","0","0","11","N"
"101","trained","0","0","0","0","139","V"
"102","stator","0","138","0","0","0","N"
"103","purity","0","136","0","0","0","N"
"104","fuel","0","134","0","0","1","N"
"105","duct","0","130","0","0","2","N"
"106","ge","8","122","0","0","1","N"
"107","phase","0","124","0","0","0","N"
"108","readings","0","124","0","0","0","N"
"109","erratically","0","0","0","123","0","N"
"110","nans","0","109","0","8","0","N"
"111","predictions","0","115","0","0","0","N"
"112","tracked","0","0","0","0","114","V"
"113","journal","0","113","0","0","0","N"
"114","de","14","98","0","0","0","N"
"115","alarm","0","107","0","0","4","N"
"116","shaft","0","110","0","0","0","N"
"117","cleared","0","0","0","0","109","V"
"118","track","0","15","0","0","93","V"
"119","hydrogen","0","105","0","0","0","N"
"120","inactive","101","2","0","0","0","J"
"121","conductivity","0","102","0","0","0","N"
"122","conditions","0","101","0","0","0","N"
"123","demand","0","101","0","0","0","N"
"124","sensors","0","100","0","0","0","N"
"125","asset","0","99","0","0","0","N"
"126","perf","0","99","0","0","0","N"
"127","pressures","0","98","0","0","0","N"
"128","lo","0","90","0","0","5","N"
"129","burner","0","93","0","0","0","N"
"130","curtailed","0","0","0","0","92","V"
"131","reaching","0","0","0","0","89","V"
"132","ob","0","88","0","0","0","N"
"133","ib","2","84","0","0","0","N"
"134","read","0","0","0","0","83","V"
"135","st","38","37","0","2","6","J"
"136","notification","0","82","0","0","0","N"
"137","slowly","0","0","0","82","0","N"
"138","winding","0","0","0","0","82","V"
"139","detector","0","73","0","0","8","N"
"140","probe","0","80","0","0","0","N"
"141","average","15","62","0","0","2","N"
"142","starts","0","67","0","0","12","N"
"143","consistently","0","0","0","77","0","N"
"144","gear","0","70","0","0","7","N"
"145","hot","75","1","0","0","0","J"
"146","stage","11","59","0","0","6","N"
"147","difference","28","47","0","0","0","N"
"148","leak","3","71","0","0","1","N"
"149","condensate","4","64","0","0","6","N"
"150","attemperator","0","69","0","0","4","N"
"151","bfp","9","56","0","2","3","N"
"152","collector","1","69","0","0","0","N"
"153","outer","70","0","0","0","0","J"
"154","rd","48","13","0","0","9","J"
"155","feedwater","1","68","0","0","0","N"
"156","spray","0","66","0","0","3","N"
"157","cooling","0","23","0","0","45","V"
"158","cv","3","57","0","3","5","N"
"159","delta","31","37","0","0","0","N"
"160","monitor","0","19","0","0","49","V"
"161","monitoring","0","34","0","0","34","N"
"162","bearings","0","67","0","0","0","N"
"163","buffer","0","63","0","0","4","N"
"164","turbines","0","67","0","0","0","N"
"165","closing","0","8","0","0","58","V"
"166","flows","0","33","0","0","33","N"
"167","positions","0","66","0","0","0","N"
"168","shifted","0","0","0","0","66","V"
"169","steadily","0","0","0","66","0","N"
"170","condenser","0","64","0","0","1","N"
"171","flame","0","65","0","0","0","N"
"172","vent","0","64","0","0","0","N"
"173","coupling","0","49","0","0","14","N"
"174","driver","0","63","0","0","0","N"
"175","inho","22","39","0","0","2","N"
"176","trended","0","0","0","0","63","V"
"177","iprc","0","60","1","0","1","N"
"178","casing","0","61","0","0","0","N"
"179","coolant","3","58","0","0","0","N"
"180","nox","1","59","0","1","0","N"
"181","persisted","0","0","0","0","61","V"
"182","stack","0","60","0","0","1","N"
"183","trip","0","61","0","0","0","N"
"184","issues","0","60","0","0","0","N"
"185","cold","59","0","0","0","0","J"
"186","dropping","0","0","0","0","59","V"
"187","accurately","0","0","0","57","0","N"
"188","flat","57","0","0","0","0","J"
"189","alias","0","50","0","2","4","N"
"190","outboard","1","53","0","2","0","N"
"191","bleed","0","5","0","0","50","V"
"192","gradually","0","0","0","55","0","N"
"193","intermittently","0","0","0","55","0","N"
"194","radial","53","1","0","0","0","J"
"195","rear","19","35","0","0","0","N"
"196","rh","1","53","0","0","0","N"
"197","cond","2","41","0","1","9","N"
"198","drive","0","50","0","0","1","N"
"199","engine","2","49","0","0","0","N"
"200","flatline","2","29","0","0","20","N"
"201","fluctuating","0","2","0","0","49","V"
"202","tracks","0","27","0","0","24","N"
"203","closed","5","0","0","0","45","V"
"204","gb","15","32","0","0","3","N"
"205","gtdl","19","31","0","0","0","N"
"206","recirc","0","49","0","0","1","N"
"207","residuals","0","50","0","0","0","N"
"208","lined","0","0","0","0","49","V"
"209","periods","0","49","0","0","0","N"
"210","stripe","2","27","0","0","20","N"
"211","transmitter","0","48","0","0","1","N"
"212","chip","0","48","0","0","0","N"
"213","vibes","0","47","0","0","1","N"
"214","exciter","0","46","0","0","1","N"
"215","exceeded","0","0","0","0","46","V"
"216","inboard","6","38","0","2","0","N"
"217","industrial","46","0","0","0","0","J"
"218","wheel","0","46","0","0","0","N"
"219","boiler","0","45","0","0","0","N"
"220","positive","45","0","0","0","0","J"
"221","prox","0","45","0","0","0","N"
"222","tank","0","45","0","0","0","N"
"223","inner","44","0","0","0","0","J"
"224","nan","0","44","0","0","0","N"
"225","recycle","0","44","0","0","0","N"
"226","sh","6","38","0","0","0","N"
"227","strut","3","41","0","0","0","N"
"228","fluid","3","40","0","0","0","N"
"229","machine","0","43","0","0","0","N"
"230","operational","43","0","0","0","0","J"
"231","slight","43","0","0","0","0","J"
"232","gross","42","0","0","0","0","J"
"233","models","0","42","0","0","0","N"
"234","packing","0","38","0","0","4","N"
"235","xmtr","3","39","0","0","0","N"
"236","prc","0","41","0","0","0","N"
"237","ranges","0","35","0","0","6","N"
"238","rapid","41","0","0","0","0","J"
"239","signal","0","41","0","0","0","N"
"240","vibs","1","39","0","1","0","N"
"241","ammonia","0","40","0","0","0","N"
"242","coal","0","40","0","0","0","N"
"243","decreases","0","18","0","0","22","V"
"244","displacement","0","40","0","0","0","N"
"245","mass","0","40","0","0","0","N"
"246","recovered","0","0","0","0","40","V"
"247","cp","19","14","0","1","5","J"
"248","cylinder","0","39","0","0","0","N"
"249","displaying","0","0","0","0","39","V"
"250","incidents","0","39","0","0","0","N"
"251","day","1","37","0","0","0","N"
"252","deviation","0","38","0","0","0","N"
"253","heat","0","36","0","0","2","N"
"254","historical","38","0","0","0","0","J"
"255","hydraulic","38","0","0","0","0","J"
"256","preheater","0","38","0","0","0","N"
"257","strainer","0","38","0","0","0","N"
"258","alternator","0","37","0","0","0","N"
"259","antisurge","23","14","0","0","0","J"
"260","combustion","0","37","0","0","0","N"
"261","curtailment","0","37","0","0","0","N"
"262","process","0","35","0","0","2","N"
"263","cep","19","16","0","1","0","J"
"264","stm","2","34","0","0","0","N"
"265","acceleration","0","35","0","0","0","N"
"266","actioned","1","0","0","0","34","V"
"267","alert","8","7","0","0","20","V"
"268","cation","0","35","0","0","0","N"
"269","exhibiting","1","1","0","0","33","V"
"270","february","20","15","0","0","0","J"
"271","hg","2","33","0","0","0","N"
"272","piston","0","35","0","0","0","N"
"273","varying","0","0","0","0","35","V"
"274","alerting","2","0","0","0","32","V"
"275","datafeed","0","29","0","0","5","N"
"276","dsh","24","10","0","0","0","J"
"277","expander","0","33","0","0","1","N"
"278","hs","0","30","0","0","4","N"
"279","separator","1","32","0","0","1","N"
"280","charts","0","33","0","0","0","N"
"281","co","0","33","0","0","0","N"
"282","detectors","0","33","0","0","0","N"
"283","flatlining","1","16","0","0","16","N"
"284","fo","1","1","0","0","31","V"
"285","htr","4","16","1","0","12","N"
"286","rel","0","33","0","0","0","N"
"287","sump","0","30","0","0","3","N"
"288","adaptation","0","32","0","0","0","N"
"289","amplitude","0","32","0","0","0","N"
"290","comp","2","29","0","0","1","N"
"291","faulted","10","0","0","0","22","V"
"292","servo","0","31","0","0","1","N"
"293","blowdown","0","31","0","0","0","N"
"294","fans","0","31","0","0","0","N"
"295","mill","0","31","0","0","0","N"
"296","repaired","0","0","0","0","31","V"
"297","interstage","0","30","0","0","0","N"
"298","periodically","0","0","0","30","0","N"
"299","startups","0","30","0","0","0","N"
"300","volts","0","30","0","0","0","N"
"301","alarms","0","29","0","0","0","N"
"302","chart","0","28","0","0","1","N"
"303","dates","0","26","0","0","3","N"
"304","reads","0","0","0","0","29","V"
"305","scrubber","0","29","0","0","0","N"
"306","swinging","0","0","0","0","29","V"
"307","tunnel","0","29","0","0","0","N"
"308","vibe","4","19","0","3","3","N"
"309","igv","7","17","0","0","4","N"
"310","persist","0","0","0","0","28","V"
"311","ranging","0","0","0","0","28","V"
"312","residual","20","8","0","0","0","J"
"313","correct","16","0","0","0","11","J"
"314","damper","0","27","0","0","0","N"
"315","post","0","24","0","0","3","N"
"316","probes","0","27","0","0","0","N"
"317","scanner","0","27","0","0","0","N"
"318","transducer","0","27","0","0","0","N"
"319","velocity","0","27","0","0","0","N"
"320","injection","0","26","0","0","0","N"
"321","peak","6","20","0","0","0","N"
"322","upward","10","0","0","16","0","J"
"323","controller","0","25","0","0","0","N"
"324","correlate","2","2","0","0","21","V"
"325","correlates","0","3","0","0","22","V"
"326","feed","0","25","0","0","0","N"
"327","fpt","0","20","0","5","0","N"
"328","heater","0","25","0","0","0","N"
"329","ho","2","21","1","0","1","N"
"330","pi","0","25","0","0","0","N"
"331","producing","1","0","0","0","24","V"
"332","wsao","5","17","0","0","3","N"
"333","center","0","24","0","0","0","N"
"334","efficiency","0","24","0","0","0","N"
"335","historically","0","0","0","24","0","N"
"336","maximum","3","20","0","0","1","N"
"337","adapted","0","0","0","0","23","V"
"338","agb","13","10","0","0","0","J"
"339","assets","0","23","0","0","0","N"
"340","bdm","3","18","0","0","2","N"
"341","deviate","0","1","0","0","22","V"
"342","estimated","2","0","0","0","21","V"
"343","fp","0","23","0","0","0","N"
"344","geip","0","23","0","0","0","N"
"345","horizontal","12","11","0","0","0","J"
"346","instrument","0","23","0","0","0","N"
"347","intercooler","10","13","0","0","0","N"
"348","occurring","0","0","0","0","23","V"
"349","priority","0","23","0","0","0","N"
"350","rtd","2","16","0","0","5","N"
"351","scavenge","3","19","0","0","1","N"
"352","shifts","0","20","0","0","3","N"
"353","short","23","0","0","0","0","J"
"354","stepping","0","0","0","0","23","V"
"355","stopped","0","0","0","0","23","V"
"356","street","0","23","0","0","0","N"
"357","vert","17","6","0","0","0","J"
"358","booster","0","22","0","0","0","N"
"359","exceeding","0","0","0","0","22","V"
"360","firing","0","2","0","0","20","V"
"361","magnetic","22","0","0","0","0","J"
"362","mol","0","22","0","0","0","N"
"363","pulv","0","21","0","0","1","N"
"364","relatively","0","0","0","22","0","N"
"365","shell","2","20","0","0","0","N"
"366","smart","21","1","0","0","0","J"
"367","sp","0","22","0","0","0","N"
"368","backpressure","2","19","0","0","0","N"
"369","cst","0","21","0","0","0","N"
"370","cw","1","20","0","0","0","N"
"371","gaphoss","0","21","0","0","0","N"
"372","lcv","0","18","0","0","3","N"
"373","smartsignal","21","0","0","0","0","J"
"374","unstable","21","0","0","0","0","J"
"375","versus","11","9","0","1","0","J"
"376","angle","0","20","0","0","0","N"
"377","colleagues","0","20","0","0","0","N"
"378","cycle","0","20","0","0","0","N"
"379","deviating","0","1","0","0","19","V"
"380","inh","0","17","1","0","2","N"
"381","op","1","19","0","0","0","N"
"382","oscillating","1","1","0","0","18","V"
"383","poor","20","0","0","0","0","J"
"384","reservoir","0","20","0","0","0","N"
"385","affecting","0","0","0","0","19","V"
"386","concentration","0","19","0","0","0","N"
"387","deviations","0","19","0","0","0","N"
"388","downward","7","0","0","12","0","J"
"389","econ","0","19","0","0","0","N"
"390","intermittent","18","1","0","0","0","J"
"391","occured","0","0","0","0","19","V"
"392","rule","0","17","0","0","2","N"
"393","bd","3","11","0","0","4","N"
"394","degrade","0","0","0","0","18","V"
"395","flatlines","0","17","0","0","1","N"
"396","inbrd","5","12","0","0","1","N"
"397","level","1","16","0","1","0","N"
"398","liquid","15","3","0","0","0","J"
"399","loss","0","18","0","0","0","N"
"400","peaked","1","0","0","0","17","V"
"401","pumps","0","18","0","0","0","N"
"402","spreads","0","13","0","0","5","N"
"403","srv","0","18","0","0","0","N"
"404","timeframe","0","18","0","0","0","N"
"405","traced","0","0","0","0","18","V"
"406","transmitters","0","18","0","0","0","N"
"407","turbo","0","18","0","0","0","N"
"408","acoustic","17","0","0","0","0","J"
"409","cdt","0","17","0","0","0","N"
"410","correspond","0","3","0","0","14","V"
"411","economizer","0","17","0","0","0","N"
"412","enclosure","0","17","0","0","0","N"
"413","frequently","0","0","0","17","0","N"
"414","fwh","5","10","1","0","1","N"
"415","gradual","17","0","0","0","0","J"
"416","intensity","0","17","0","0","0","N"
"417","magnitude","0","17","0","0","0","N"
"418","oxygen","0","17","0","0","0","N"
"419","rose","0","1","0","0","16","V"
"420","unchanged","17","0","0","0","0","J"
"421","varied","0","0","0","0","17","V"
"422","bank","0","16","0","0","0","N"
"423","bed","0","16","0","0","0","N"
"424","begin","0","0","0","0","16","V"
"425","charge","0","16","0","0","0","N"
"426","device","0","16","0","0","0","N"
"427","dissolved","0","0","0","0","16","V"
"428","fcv","1","15","0","0","0","N"
"429","fixed","0","0","0","0","16","V"
"430","late","12","0","0","4","0","J"
"431","occasionally","0","0","0","16","0","N"
"432","returns","0","12","0","0","4","N"
"433","btgj","1","13","1","0","0","N"
"434","cell","0","15","0","0","0","N"
"435","desuperheater","0","15","0","0","0","N"
"436","filters","0","15","0","0","0","N"
"437","fluctuate","0","0","0","0","15","V"
"438","mark","0","14","0","0","1","N"
"439","nacelle","5","10","0","0","0","N"
"440","pulverizer","0","15","0","0","0","N"
"441","restarted","0","0","0","0","15","V"
"442","rr","13","2","0","0","0","J"
"443","spec","1","14","0","0","0","N"
"444","teg","0","15","0","0","0","N"
"445","vacuum","0","15","0","0","0","N"
"446","vertical","15","0","0","0","0","J"
"447","addressed","0","0","0","0","14","V"
"448","adverse","14","0","0","0","0","J"
"449","alerts","0","12","0","0","2","N"
"450","aph","0","14","0","0","0","N"
"451","behaviour","0","14","0","0","0","N"
"452","bst","0","12","0","1","1","N"
"453","circ","8","6","0","0","0","J"
"454","cut","0","10","0","0","4","N"
"455","cycling","0","5","0","0","9","V"
"456","driving","0","0","0","0","14","V"
"457","fairly","0","0","0","14","0","N"
"458","fd","12","2","0","0","0","J"
"459","horiz","0","14","0","0","0","N"
"460","para","0","13","0","0","1","N"
"461","pc","6","8","0","0","0","N"
"462","receiving","0","0","0","0","14","V"
"463","reheat","0","14","0","0","0","N"
"464","reliable","14","0","0","0","0","J"
"465","superheater","0","14","0","0","0","N"
"466","threshold","0","14","0","0","0","N"
"467","thresholds","0","14","0","0","0","N"
"468","trucks","0","14","0","0","0","N"
"469","apparent","13","0","0","0","0","J"
"470","approaching","0","0","0","0","13","V"
"471","bias","0","13","0","0","0","N"
"472","box","0","13","0","0","0","N"
"473","bp","4","5","0","0","4","N"
"474","brgx","0","13","0","0","0","N"
"475","calibration","0","13","0","0","0","N"
"476","comparing","0","5","0","0","8","V"
"477","deviated","0","0","0","0","13","V"
"478","downwards","0","2","0","11","0","N"
"479","exhibit","0","0","0","0","13","V"
"480","fwpa","0","13","0","0","0","N"
"481","fwpb","6","4","0","0","3","J"
"482","inline","0","9","0","4","0","N"
"483","instrumentation","0","13","0","0","0","N"
"484","nearly","0","0","0","13","0","N"
"485","ongoing","13","0","0","0","0","J"
"486","plant","0","12","0","0","1","N"
"487","pretty","1","0","0","12","0","J"
"488","risen","0","0","0","0","13","V"
"489","server","0","13","0","0","0","N"
"490","south","3","1","0","9","0","J"
"491","advisory","11","1","0","0","0","J"
"492","attributed","0","0","0","0","12","V"
"493","baseload","0","12","0","0","0","N"
"494","brgy","0","8","0","0","4","N"
"495","comb","0","12","0","0","0","N"
"496","continuing","0","0","0","0","12","V"
"497","egt","0","12","0","0","0","N"
"498","exhibited","0","0","0","0","12","V"
"499","fi","8","3","0","0","1","J"
"500","fluctuations","0","12","0","0","0","N"
"501","gec","9","3","0","0","0","J"
"502","health","0","12","0","0","0","N"
"503","holding","0","0","0","0","12","V"
"504","inactivated","3","0","0","0","9","V"
"505","jacket","0","12","0","0","0","N"
"506","lumins","0","12","0","0","0","N"
"507","reactive","2","10","0","0","0","N"
"508","reboiler","0","12","0","0","0","N"
"509","repair","0","10","0","0","2","N"
"510","respective","12","0","0","0","0","J"
"511","resulted","0","0","0","0","12","V"
"512","rising","0","0","0","0","12","V"
"513","seismic","0","10","0","0","2","N"
"514","setpoint","0","12","0","0","0","N"
"515","stayed","0","0","0","0","12","V"
"516","subsequent","12","0","0","0","0","J"
"517","suddenly","0","0","0","12","0","N"
"518","switched","0","0","0","0","12","V"
"519","tcaphoss","0","12","0","0","0","N"
"520","ti","0","11","0","0","1","N"
"521","upwards","0","0","0","12","0","N"
"522","usual","12","0","0","0","0","J"
"523","actuals","0","10","0","0","1","N"
"524","advisories","0","11","0","0","0","N"
"525","appreciable","11","0","0","0","0","J"
"526","barrel","0","11","0","0","0","N"
"527","beds","0","11","0","0","0","N"
"528","castellon","8","3","0","0","0","J"
"529","counter","0","2","0","0","9","V"
"530","cylinders","0","11","0","0","0","N"
"531","exchanger","0","11","0","0","0","N"
"532","export","0","11","0","0","0","N"
"533","furthermore","1","0","0","10","0","J"
"534","instances","0","11","0","0","0","N"
"535","instruments","0","11","0","0","0","N"
"536","investigation","0","11","0","0","0","N"
"537","loop","0","11","0","0","0","N"
"538","notable","11","0","0","0","0","J"
"539","pri","0","11","0","0","0","N"
"540","ranged","0","0","0","0","11","V"
"541","scr","1","10","0","0","0","N"
"542","seals","0","11","0","0","0","N"
"543","shifting","0","0","0","0","11","V"
"544","somewhat","0","0","0","11","0","N"
"545","upset","5","1","0","0","5","J"
"546","vary","0","0","0","0","11","V"
